Link, Anchor Text
"https://www.forbes.com/celebrities/#48ff68dd5947", "The Celebrity 100: The World's Highest-Paid Entertainers of 2019"
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_ref-24", ^
"https://www.forbes.com/celebrities/", "2020: The World's Highest Paid Celebrities"
"https://www.forbes.com/celebrities/list/", The Celebrity 100, latest
"https://en.wikipedia.org/wiki/Template:Forbes_magazine", v
"https://en.wikipedia.org/wiki/Template_talk:Forbes_magazine", t
"https://en.wikipedia.org/w/index.php?title=Template:Forbes_magazine&action=edit", e
"https://en.wikipedia.org/wiki/Forbes_Global_2000", Forbes Global 2000
"https://en.wikipedia.org/wiki/Forbes_500", Forbes 500
"https://en.wikipedia.org/wiki/The_World%27s_Billionaires", The World's Billionaires
"https://en.wikipedia.org/wiki/Forbes_400", Forbes 400
"https://en.wikipedia.org/wiki/Forbes_30_Under_30", 30 Under 30
"https://en.wikipedia.org/wiki/Forbes_list_of_Australia%27s_50_richest_people", Australia's 50 Richest People
"https://en.wikipedia.org/wiki/Forbes_list_of_the_World%27s_Most_Powerful_People", World's Most Powerful People
"https://en.wikipedia.org/wiki/Forbes_list_of_The_World%27s_100_Most_Powerful_Women", World's 100 Most Powerful Women
"https://en.wikipedia.org/wiki/Forbes_Fictional_15", Forbes Fictional 15
"https://en.wikipedia.org/wiki/Forbes_China_Celebrity_100", China Celebrity 100
"https://en.wikipedia.org/wiki/Forbes_Korea_Power_Celebrity_40", Korea Power Celebrity 40
"https://en.wikipedia.org/wiki/Forbes_list_of_the_world%27s_highest-paid_dead_celebrities", Highest-paid dead celebrities
"https://en.wikipedia.org/wiki/Forbes_list_of_highest-earning_musicians", Highest-earning musicians
"https://en.wikipedia.org/wiki/Forbes_list_of_the_world%27s_highest-paid_athletes", Highest-paid athletes
"https://en.wikipedia.org/wiki/Forbes_list_of_the_most_valuable_sports_teams", Most valuable sports teams
"https://en.wikipedia.org/wiki/Forbes_list_of_the_most_valuable_NFL_clubs", American football
"https://en.wikipedia.org/wiki/Forbes_list_of_the_most_valuable_football_clubs", Association football
"https://en.wikipedia.org/wiki/Forbes_list_of_the_most_valuable_MLB_clubs", Baseball
"https://en.wikipedia.org/wiki/Forbes_list_of_the_most_valuable_NBA_clubs", Basketball
"https://en.wikipedia.org/wiki/Forbes_list_of_the_most_valuable_NHL_clubs", Ice hockey
"https://en.wikipedia.org/wiki/America%27s_Top_Colleges", America's Top Colleges
"https://en.wikipedia.org/wiki/Midas_List", Midas List (Tech's Top Deal Makers)
"https://en.wikipedia.org/w/index.php?title=Forbes_Celebrity_100&oldid=1113960565", Permanent link
"https://en.wikipedia.org/wiki/Help:Category", Categories
